Date,NYA,N225,IXIC,GSPTSE,HSI,GDAXI,SSMI,KS11,TWII,SS,SZ,N100,NSEI,JO
2012-09-25,8274.780273,9091.540039,3117.72998,12257.2002,20698.67969,7425.109863,6613.450195,1991.410034,7734.129883,2029.292969,8284.25,667.090027,5673.899902,36041.48047
2012-09-26,8221.320313,8906.700195,3093.699951,12232.90039,20527.73047,7276.509766,6540.410156,1980.439941,7669.629883,2004.171997,8193.370117,652.22998,5663.450195,35415.07031
2012-09-27,8303.740234,8949.870117,3136.600098,12338.90039,20762.28906,7290.02002,6545.910156,1988.699951,7683.799805,2056.322998,8486.269531,654.409973,5649.5,35616.60156
2012-09-28,8251.0,8870.160156,3116.22998,12317.5,20840.38086,7216.149902,6495.879883,1996.209961,7715.160156,2086.168945,8679.219727,642.380005,5703.299805,35757.98047
2012-10-09,8279.110352,8769.589844,3065.02002,12273.59961,20937.2793,7234.529785,6649.100098,1979.040039,7592.009766,2115.229004,8743.860352,649.320007,5704.600098,36070.73828
2012-10-11,8256.589844,8546.780273,3049.409912,12234.0,20999.05078,7281.700195,6654.02002,1933.089966,7451.720215,2102.86792,8665.089844,653.25,5708.049805,36498.44141
2012-10-12,8227.080078,8534.120117,3044.110107,12202.0,21136.42969,7232.490234,6655.200195,1933.26001,7437.040039,2104.931885,8650.19043,649.51001,5676.049805,36440.05078
2012-10-15,8293.5,8577.929688,3064.179932,12230.0,21148.25,7261.25,6704.209961,1925.589966,7418.899902,2098.702881,8621.969727,654.099976,5687.25,36620.28125
2012-10-16,8386.469727,8701.30957,3101.169922,12407.7002,21207.07031,7376.27002,6774.02002,1941.540039,7471.02002,2098.808105,8645.540039,665.549988,5648.0,36974.23828
2012-10-17,8446.509766,8806.549805,3104.120117,12461.29981,21416.64063,7394.549805,6786.399902,1955.150024,7464.399902,2105.61792,8641.179688,669.26001,5660.25,37274.67969
2012-10-18,8442.820313,8982.860352,3072.870117,12466.09961,21518.71094,7437.22998,6781.720215,1959.119995,7465.410156,2131.687988,8798.200195,668.48999,5718.700195,37051.94922
2012-10-19,8324.139648,9002.679688,3005.620117,12416.0,21551.75977,7380.640137,6756.140137,1943.839966,7408.759766,2128.302002,8796.419922,663.859985,5684.25,36783.12109
2012-10-22,8329.179688,9010.709961,3016.959961,12403.5,21697.55078,7328.049805,6746.709961,1941.589966,7373.040039,2132.758057,8829.44043,661.109985,5717.149902,36968.5
2012-10-25,8211.910156,9055.200195,2986.120117,12300.2002,21810.23047,7200.22998,6606.569824,1924.5,7262.080078,2101.580078,8602.80957,650.169983,5705.299805,36995.64844
2012-10-31,8221.400391,8928.290039,2977.22998,12422.90039,21641.82031,7260.629883,6595.129883,1912.060059,7166.049805,2068.879883,8469.799805,651.859985,5619.700195,37156.28125
2012-11-01,8311.360352,8946.870117,3020.060059,12499.79981,21821.86914,7335.669922,6660.25,1898.439941,7179.640137,2104.427002,8663.150391,659.859985,5645.049805,37377.32031
2012-11-02,8234.910156,9051.219727,2982.129883,12380.40039,22111.33008,7363.850098,6701.370117,1918.719971,7210.470215,2117.045898,8679.69043,663.5,5697.700195,37664.80859
2012-11-05,8240.25,9007.44043,2999.659912,12352.79981,22006.40039,7326.470215,6706.27002,1908.219971,7185.359863,2114.0271,8654.740234,656.659973,5704.200195,37579.37891
2012-11-06,8312.349609,8975.150391,3011.929932,12361.2002,21944.42969,7377.759766,6745.740234,1928.170044,7236.680176,2105.999023,8589.870117,661.47998,5724.399902,37597.67969
2012-11-07,8138.799805,8972.889648,2937.290039,12230.59961,22099.84961,7232.830078,6697.629883,1937.550049,7287.180176,2105.72998,8561.200195,651.119995,5760.100098,37471.69141
2012-11-08,8050.830078,8837.150391,2895.580078,12191.09961,21566.91016,7204.959961,6713.620117,1914.410034,7242.629883,2071.509033,8399.379883,650.109985,5738.75,37592.85938
2012-11-09,8053.560059,8757.599609,2904.870117,12196.79981,21384.38086,7163.5,6715.200195,1904.410034,7293.220215,2069.066895,8356.669922,651.97998,5686.25,37344.39844
2012-11-12,8054.040039,8676.44043,2904.25,12191.5,21430.30078,7168.759766,6696.669922,1900.869995,7267.75,2079.272949,8391.900391,650.76001,5683.700195,37463.19922
2012-11-15,7896.879883,8829.719727,2836.939941,11811.40039,21108.92969,7043.419922,6574.560059,1870.719971,7143.839844,2030.290039,8186.060059,642.73999,5631.0,37026.71875
2012-11-16,7931.549805,9024.160156,2853.129883,11877.7002,21159.00977,6950.529785,6508.660156,1860.829956,7130.069824,2014.724976,8118.149902,635.159973,5574.049805,36818.76172
2012-11-19,8080.290039,9153.200195,2916.070068,12040.40039,21262.06055,7123.839844,6638.890137,1878.099976,7129.040039,2016.982056,8060.540039,650.390015,5571.399902,37229.64063
